 2,500 Japanese  students in Osaka  protest against Iraq  war	Japanese PLACE country="JP" form="NAM" gazref="IGDB:19768770" id="Pl-7" latLong="36.000°N 138.000°E" predicative="true" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-12" latLong="33.000°N 44.000°E" predicative="true" type="COUNTRY",Osaka PLACE country="JP" form="NAM" gazref="IGDB:19759095" id="Pl-6" latLong="34.667°N 135.500°E" state="JP-27" type="PPLA"	Iraq 33.0 44.0 iq_00,Osaka 34.69374084472656 135.50218200683594 jp_32,
U.S. Attorney Todd Graves said Montgomery contacted Stinnett through an online message board, and authorities zeroed in on her using computer forensics.	U.S. PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-8" predicative="true" type="COUNTRY"	U.S. 39.7599983215332 -98.5 us_00,Stinnett 35.82698059082031 -101.44293975830078 us_tx,Montgomery 39.23350143432617 -123.38973236083984 us_ca,
According to the criminal complaint, Montgomery traveled about 40 miles to Topeka , Kan. , on Thursday to go shopping.	Topeka PLACE country="US" form="NAM" gazref="IGDB:486477" id="Pl-4" latLong="39.048°N 95.678°W" state="US-KS" type="PPLA",Kan. PLACE country="US" form="NAM" gazref="IGDB:482813" id="Pl-2" latLong="38.500°N 98.500°W" state="US-KS" type="CIVIL"	Kan 55.159698486328125 95.13369750976562 ru_91,Montgomery 39.23350143432617 -123.38973236083984 us_ca,Topeka 39.0483283996582 -95.67803955078125 us_ks,
Finally, the Democrats are finally realizing that the American people support the rights of unborn children and may soon revamp their platform to accommodate the morals and values that at least half of this country possesses.	American PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-1" predicative="true" type="COUNTRY",country PLACE country="US" form="NOM" gazref="IGDB:840" id="Pl-6" type="COUNTRY"	
From the Los Angeles Times : After long defining itself as an undisputed defender of abortion rights, the Democratic Party is suddenly locked in an internal struggle over whether to redefine its position to appeal to a broader array of voters.	Los Angeles PLACE country="US" form="NAM" gazref="IGDB:1663328" id="Pl-2" latLong="34.052°N 118.243°W" predicative="true" state="US-CA" type="PPL"	
The fight is a central theme of the contest to head the Democratic National, particularly between two leading candidates: former Vermont Gov. Howard Dean, who supports abortion rights, and former Indiana Rep. Tim Roemer, an abortion foe who argues that the party cannot rebound from its losses in the November election unless it shows more tolerance on one of society's most emotional conflicts.	Indiana PLACE country="US" form="NAM" gazref="IGDB:449508" id="Pl-4" latLong="40.000°N 86.250°W" predicative="true" state="US-IN" type="CIVIL",Vermont PLACE country="US" form="NAM" gazref="IGDB:1780802" id="Pl-3" latLong="44.000°N 72.750°W" predicative="true" state="US-VT" type="CIVIL"	Indiana 40.00032043457031 -86.2502670288086 us_in,Howard 47.897918701171875 -119.82478332519531 us_wa,
The fact that he didn't win a single primary outside his home state shows that the country does not embrace his radical liberalism.	state PLACE country="US" form="NOM" gazref="IGDB:1780802" id="Pl-5" latLong="44.000°N 72.750°W" state="US-VT" type="CIVIL",country PLACE country="US" form="NOM" gazref="IGDB:840" id="Pl-6" type="COUNTRY"	
2004-12-26T17:12:00 Peyton Manning broke Dan Marino's season touchdown record today with 49 against the San Diego Chargers in a thrilling game that ended in overtime.	San Diego PLACE country="US" form="NAM" gazref="IGDB:1662377" id="Pl-1" latLong="32.715°N 117.156°W" predicative="true" state="US-CA" type="PPL"	Peyton 46.62820816040039 -117.80020904541016 us_wa,San Diego 33.03337860107422 -116.80085754394531 us_ca,Manning 46.93210983276367 -117.4076919555664 us_wa,
I was happy to see Manning break the record, as last week he decided to take a knee to end the game against the Baltimore Ravens when he could have tried to increase the lead even more by throwing a touchdown.	Baltimore PLACE country="US" form="NAM" gazref="IGDB:598040" id="Pl-2" latLong="39.290°N 76.612°W" predicative="true" state="US-MD" type="PPL"	Baltimore 42.7353515625 -76.12576293945312 us_ny,Manning 46.93210983276367 -117.4076919555664 us_wa,
On a much sadder note, the Minister of Defense, Reggie White, died of heart attack this morning in his home at the age of 43.	home PLACE country="US" form="NOM" id="Pl-124" type="FAC"	
White played a total of 15 years with Philadelphia , Green Bay and Carolina .	Philadelphia PLACE country="US" form="NAM" gazref="IGDB:1210052" id="Pl-3" latLong="39.952°N 75.164°W" state="US-PA" type="PPL",Green Bay PLACE country="US" form="NAM" gazref="IGDB:1566801" id="Pl-5" latLong="44.519°N 88.020°W" state="US-WI" type="PPL",Carolina PLACE country="US" form="NAM" gazref="IGDB:1028616" id="Pl-4" latLong="35.501°N 80.001°W" state="US-NC" type="CIVIL"	Philadelphia 39.95233917236328 -75.16378784179688 us_pa,Green Bay 44.519161224365234 -88.01982879638672 us_wi,Carolina 30.793800354003906 -95.39688873291016 us_tx,
She has already made enough money from her debut album (never again) to live out the rest of her life in some secluded California mansion .	California PLACE country="US" form="NAM" gazref="IGDB:1780778" id="Pl-1" latLong="37.250°N 119.750°W" predicative="true" state="US-CA" type="CIVIL"	
Mon, 24 Jan 2005 05:40:37 -0600 Bush administration quietly stops destroying chemical and biological weapons Unnoticed by anyone else, the Bush administration has quietly ditched programs to destroy America 's biggest-in-the-world stockpile of chemical and biological weapons.	America PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-1" type="COUNTRY"	America 39.7599983215332 -98.5 us_00,
Eight places in the US are used to stockpile chemical weapons -- including blister agents, riot agents, and the dreaded nerve agents.	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-2" type="COUNTRY"	US 52.08694839477539 92.48050689697266 ru_91,
Storage locations include: -- Anniston Army Depot, Anniston , AL -- Rocky Mountain Arsenal, Pueblo , CO -- Bluegrass Army Depot, Lexington , KY -- Aberdeen Proving Grounds, MD -- Toelle Army Depot, Toelle , UT (the granddaddy of them all) Destruction is underway in Anniston where the Dept of Defense built and is operating an incinerator to burn weapons located there.	UT PLACE country="US" form="NAM" gazref="IGDB:1456989" id="Pl-7" latLong="39.250°N 111.750°W" state="UT" type="CIVIL",Aberdeen PLACE country="US" form="NAM" gazref="IGDB:583854" id="Pl-17" latLong="39.509°N 76.164°W" state="MD" type="PPL",Anniston PLACE country="US" form="NAM" gazref="IGDB:160066" id="Pl-11" latLong="33.660°N 85.832°W" state="AL" type="PPL",Toelle PLACE country="US" form="NAM" gazref="IGDB:1438457" id="Pl-6" latLong="40.500°N 112.250°W" state="UT" type="MTN",Lexington PLACE country="US" form="NAM" gazref="IGDB:497343" id="Pl-15" latLong="37.989°N 84.478°W" state="KY" type="PPL",KY PLACE country="US" form="NAM" gazref="IGDB:1780786" id="Pl-16" latLong="37.500°N 85.250°W" state="KY" type="CIVIL",Pueblo PLACE country="US" form="NAM" gazref="IGDB:205798" id="Pl-14" latLong="38.254°N 104.609°W" state="CO" type="PPL",AL PLACE country="US" form="NAM" gazref="IGDB:1780775" id="Pl-12" latLong="32.750°N 86.750°W" state="AL" type="CIVIL",CO PLACE country="US" form="NAM" gazref="IGDB:1780779" id="Pl-13" latLong="39.000°N 105.500°W" state="CO" type="CIVIL",MD PLACE country="US" form="NAM" gazref="IGDB:1715934" id="Pl-18" latLong="39.000°N 76.750°W" state="MD" type="CIVIL"	UT 39.250240325927734 -111.75102996826172 us_ut,Aberdeen 46.97536849975586 -123.81571960449219 us_wa,Pueblo 32.499019622802734 -99.1214599609375 us_tx,AL 32.75040817260742 -86.75025939941406 us_al,Lexington 46.18732833862305 -122.90538787841797 us_wa,CO 39.00027084350586 -105.5008316040039 us_co,KY 38.20042037963867 -84.87761688232422 us_ky,Anniston Army Depot 33.65230941772461 -85.96214294433594 us_al,
Plans to destroy chemical weapons are now stopped, except for a small test program at Toelle .	Toelle PLACE country="US" form="NAM" gazref="IGDB:1438457" id="Pl-6" latLong="40.500°N 112.250°W" state="UT" type="MTN"	
Can anyone tell me which nation in the world owns the most WMD?	MD PLACE country="US" form="NAM" gazref="IGDB:1715934" id="Pl-18" latLong="39.000°N 76.750°W" state="MD" type="CIVIL"	
(Hint: It's neither Iraq , Iran , nor North Korea -- none of the famous "Axis of Evil.") You don't suppose they have stopped destroying these weapons because they plan to use them?	Iran PLACE country="IR" form="NAM" gazref="IGDB:16932748" id="Pl-20" latLong="32.000°N 53.000°E" type="COUNTRY",North Korea PLACE country="KP" form="NAM" gazref="IGDB:19818415" id="Pl-21" latLong="40.000°N 127.000°E" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-19" latLong="33.000°N 44.000°E" type="COUNTRY"	Iran 32.0 53.0 ir_00,North Korea 40.0 127.0 kp_00,Iraq 33.0 44.0 iq_00,
In court papers filed this week in state Supreme Court in New York , Welch requested a deposition next month of David Heleniak, a senior partner in the law firm of Shearman &amp; Sterling in New York .	New York PLACE country="US" form="NAM" gazref="IGDB:1780796" id="Pl-5" latLong="43.000°N 75.500°W" state="US-NY" type="CIVIL",state PLACE country="US" form="NOM" gazref="IGDB:1780796" id="Pl-4" latLong="43.000°N 75.500°W" predicative="true" state="US-NY" type="CIVIL"	David 37.59954071044922 -82.89071655273438 us_ky,New York 32.167930603027344 -95.66912841796875 us_tx,Welch 32.92647933959961 -102.12712097167969 us_tx,Sterling 48.49205017089844 -122.28070831298828 us_wa,
Welch specifically is seeking performance evaluations, correspondence between his estranged wife and partners while she worked at the law firm's office in London , and documents related to her prospects of becoming a partner.	office PLACE country="GB" form="NOM" id="Pl-131" state="GB-ENG" type="FAC",London PLACE country="GB" form="NAM" gazref="IGDB:17398111" id="Pl-6" latLong="51.500°N 0.117°W" state="GB-ENG" type="PPLC"	Welch 32.92647933959961 -102.12712097167969 us_tx,London 36.47605895996094 -119.44317626953125 us_ca,
That document detailed monthly outlays of some $51,000 for upkeep on a half-dozen houses scattered from Massachusetts to Florida , more than $52,000 for gifts and nearly $9,000 for food and drink, among other expenses.	Massachusetts PLACE country="US" form="NAM" gazref="IGDB:607926" id="Pl-7" latLong="42.250°N 71.500°W" state="US-MA" type="CIVIL",Florida PLACE country="US" form="NAM" gazref="IGDB:295478" id="Pl-8" latLong="28.750°N 82.500°W" state="FL" type="CIVIL"	Florida 28.750539779663086 -82.5000991821289 us_fl,
 First relief convoy arrives in Iraq  as allies struggle to clear the	Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-1" latLong="33.000°N 44.000°E" type="COUNTRY"	Iraq 33.0 44.0 iq_00,
UMM QASR , Iraq (AP) The first sizable relief convoy arrived in Iraq during a sandstorm Wednesday as allied forces struggled to clear the way for more aid shipments, using dolphins to remove mines from waterways and hunting Iraqi fighters around the port of Umm Qasr .	UMM QASR PLACE country="IQ" form="NAM" gazref="IGDB:16887773" id="Pl-19" latLong="30.034°N 47.929°E" state="BA" type="PPL",Umm Qasr PLACE country="IQ" form="NAM" gazref="IGDB:16887773" id="Pl-39" latLong="30.034°N 47.929°E" state="BA" type="PPL",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-16" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-14" latLong="33.000°N 44.000°E" type="COUNTRY"	QASR 36.55833053588867 44.8236083984375 iq_11,Qasr 36.55833053588867 44.8236083984375 iq_11,Iraq 33.0 44.0 iq_00,
Three days after U.S. President George W. Bush promised ``massive amounts'' of humanitarian aid, seven large, battered tractor-trailers arrived in Umm Qasr carrying food and water donated by Kuwaitis.	Umm Qasr PLACE country="IQ" form="NAM" gazref="IGDB:16887773" id="Pl-39" latLong="30.034°N 47.929°E" state="BA" type="PPL",Kuwaiti PLACE country="KW" form="NAM" gazref="IGDB:19210228" id="Pl-17" latLong="29.500°N 47.750°E" type="COUNTRY",U.S. PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-31" type="COUNTRY",Kuwait PLACE country="KW" form="NAM" gazref="IGDB:19210228" id="Pl-18" latLong="29.500°N 47.750°E" type="COUNTRY"	Qasr 36.55833053588867 44.8236083984375 iq_11,
The convoy was escorted by U.S. soldiers.	U.S. PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-31" type="COUNTRY"	U.S. 39.7599983215332 -98.5 us_00,
``We planned for 30 trucks but we only got seven loaded because of the severe sandstorm,'' said E.J. Russell of the Humanitarian Operations Center, a joint U.S. - Kuwaiti agency.	Kuwaiti PLACE country="KW" form="NAM" gazref="IGDB:19210228" id="Pl-17" latLong="29.500°N 47.750°E" type="COUNTRY",U.S. PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-31" type="COUNTRY",Kuwait PLACE country="KW" form="NAM" gazref="IGDB:19210228" id="Pl-18" latLong="29.500°N 47.750°E" type="COUNTRY"	U.S. 39.7599983215332 -98.5 us_00,
As the trucks lumbered past blasted buildings on the Iraq - Kuwait border, an Iraqi boy of about 10 pointed to his mouth and shouted ``Eat, eat!'' People lined up along the streets, giving thumbs-up signs to the aid convoy as it rolled by and begging for food and cigarettes.	Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-16" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-14" latLong="33.000°N 44.000°E" type="COUNTRY",Kuwait PLACE country="KW" form="NAM" gazref="IGDB:19210228" id="Pl-18" latLong="29.500°N 47.750°E" type="COUNTRY"	Kuwait 29.5 47.75 kw_00,Iraq 33.0 44.0 iq_00,
After days of fierce fighting that shut down the city of Umm Qasr , Iraqi youths cheered and swarmed British troops as they handed out yellow meal packets and bottles of water Wednesday.	Umm Qasr PLACE country="IQ" form="NAM" gazref="IGDB:16887773" id="Pl-39" latLong="30.034°N 47.929°E" state="BA" type="PPL",British PLACE country="GB" form="NAM" gazref="IGDB:17389505" id="Pl-37" latLong="54.000°N 4.000°W" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-16" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-14" latLong="33.000°N 44.000°E" type="COUNTRY"	Qasr 36.55833053588867 44.8236083984375 iq_11,
`` Umm Qasr is now secure _ as a port and as a town,'' said Brig.	Umm Qasr PLACE country="IQ" form="NAM" gazref="IGDB:16887773" id="Pl-39" latLong="30.034°N 47.929°E" state="BA" type="PPL",town PLACE country="IQ" form="NAM" gazref="IGDB:16887773" id="Pl-33" latLong="30.034°N 47.929°E" state="BA" type="PPL"	Brig 46.31666946411133 7.983329772949219 ch_vs,Qasr 36.55833053588867 44.8236083984375 iq_11,
The town 's deepwater port, the only one in Iraq , is essential for any relief effort.	Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-16" latLong="33.000°N 44.000°E" type="COUNTRY",town PLACE country="IQ" form="NAM" gazref="IGDB:16887773" id="Pl-33" latLong="30.034°N 47.929°E" state="BA" type="PPL"	Iraq 33.0 44.0 iq_00,
Plans to bring supplies to Iraqi civilians had been on hold for days because of fighting across southern Iraq .	Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-16" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-14" latLong="33.000°N 44.000°E" type="COUNTRY"	Iraq 33.0 44.0 iq_00,
On Tuesday, U.N. Secretary-General Kofi Annan warned U.S. national security adviser Condoleezza Rice that the United States is legally responsible for providing relief aid.	United States PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-43" type="COUNTRY",U.S. PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-31" type="COUNTRY"	United States 39.7599983215332 -98.5 us_00,U.S. 39.7599983215332 -98.5 us_00,Annan 27.507740020751953 119.05474090576172 cn_02,
White House spokesman Ari Fleischer blamed Saddam Hussein's regime for slowing the flow of US $105 million in U.S. aid by placing mines in the port of Umm Qasr .	Umm Qasr PLACE country="IQ" form="NAM" gazref="IGDB:16887773" id="Pl-39" latLong="30.034°N 47.929°E" state="BA" type="PPL",US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-40" type="COUNTRY",U.S. PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-31" type="COUNTRY"	U.S. 39.7599983215332 -98.5 us_00,Qasr 36.55833053588867 44.8236083984375 iq_11,
U.S. Navy helicopters flew two dolphins _ Makai and Tacoma _ into Umm Qasr , where they were to begin ferreting out mines Wednesday.	Umm Qasr PLACE country="IQ" form="NAM" gazref="IGDB:16887773" id="Pl-39" latLong="30.034°N 47.929°E" state="BA" type="PPL",U.S. PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-31" type="COUNTRY"	Makai 8.949999809265137 -12.083330154418945 sl_02,U.S. 39.7599983215332 -98.5 us_00,Qasr 36.55833053588867 44.8236083984375 iq_11,Tacoma 47.25288009643555 -122.44429016113281 us_wa,
Royal Marine commandos carried out an overnight sweep around the port, searching for Iraqi holdouts.	Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-16" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-14" latLong="33.000°N 44.000°E" type="COUNTRY"	
The British said they had enough control over the area to begin sending in ships.	British PLACE country="GB" form="NAM" gazref="IGDB:17389505" id="Pl-37" latLong="54.000°N 4.000°W" type="COUNTRY"	
A British ship, the Sir Galahad, moved into position at the mouth of the Khor Abdallah river Tuesday night with 211 tons of food and 101 tons of bottled water.	British PLACE country="GB" form="NAM" gazref="IGDB:17389505" id="Pl-37" latLong="54.000°N 4.000°W" type="COUNTRY",Khor Abdallah PLACE country="IR" form="NAM" gazref="IGDB:16806513" id="Pl-38" latLong="30.450°N 49.150°E" type="WATER"	Khor 47.886959075927734 134.94630432128906 ru_30,Abdallah 5.084799766540527 30.572750091552734 ss_10,
It was to begin the six-hour journey into Umm Qasr on Wednesday, according to a pool report.	Umm Qasr PLACE country="IQ" form="NAM" gazref="IGDB:16887773" id="Pl-39" latLong="30.034°N 47.929°E" state="BA" type="PPL"	Qasr 36.55833053588867 44.8236083984375 iq_11,
Iraqis have about five weeks of food left, according to estimates by the World Food Program.	Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-16" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-14" latLong="33.000°N 44.000°E" type="COUNTRY"	
About 13 million people _ 60 percent of Iraq 's 22 million _ are completely dependent on food handouts, The World Food Program, a U.N. agency, said it would make its biggest single request for cash in its history _ more than US $1 billion to help feed the war-stricken nation for about six months.	US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-40" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-16" latLong="33.000°N 44.000°E" type="COUNTRY"	Iraq 33.0 44.0 iq_00,
Before the war, Iraqis depended on government rations distributed under the U.N.'s oil-for-food program.	Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-16" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-14" latLong="33.000°N 44.000°E" type="COUNTRY"	
The 7-year-old program allows Iraq to sell unlimited quantities of oil to buy food, medicine and other humanitarian goods.	Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-16" latLong="33.000°N 44.000°E" type="COUNTRY"	Iraq 33.0 44.0 iq_00,
Because the United States and Britain failed to get U.N. backing for the war, Russia , France , Germany and China want to ensure that the immediate humanitarian costs of the war are paid by the United States _ and not the United Nations.	United States PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-43" type="COUNTRY",Britain PLACE country="GB" form="NAM" gazref="IGDB:17389505" id="Pl-48" latLong="54.000°N 4.000°W" type="COUNTRY",France PLACE country="FR" form="NAM" gazref="IGDB:18572019" id="Pl-49" latLong="46.000°N 2.000°E" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-47" latLong="60.000°N 100.000°E" type="COUNTRY",Germany PLACE country="DE" form="NAM" gazref="IGDB:18224345" id="Pl-50" latLong="51.500°N 10.500°E" type="COUNTRY",China PLACE country="CN" form="NAM" gazref="IGDB:18099327" id="Pl-51" latLong="35.000°N 105.000°E" type="COUNTRY"	United States 39.7599983215332 -98.5 us_00,France 43.972408294677734 -111.27523040771484 us_id,Germany 31.439899444580078 -95.35077667236328 us_tx,China 30.047990798950195 -94.33573913574219 us_tx,
A resolution giving him authority to run the program for 45 days is stalled because Russia , Syria and others are insisting the United Nations must not sanction the war or give the United States control over the U.N.-controlled account, which holds billions of dollars.	United States PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-43" type="COUNTRY",Syria PLACE country="SY" form="NAM" gazref="IGDB:17451884" id="Pl-52" latLong="35.000°N 38.000°E" type="COUNTRY",Russia PLACE country="RU" form="NAM" gazref="IGDB:17005945" id="Pl-47" latLong="60.000°N 100.000°E" type="COUNTRY"	United States 39.7599983215332 -98.5 us_00,Syria 38.48789978027344 -78.32611846923828 us_va,
Iraqi Trade Minister Mohammed Mehdi Saleh accused the United States and Britain of causing the hardships by launching the war and disrupting shipments of supplies under the oil-for-food program.	United States PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-43" type="COUNTRY",Britain PLACE country="GB" form="NAM" gazref="IGDB:17389505" id="Pl-48" latLong="54.000°N 4.000°W" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-16" latLong="33.000°N 44.000°E" type="COUNTRY",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-14" latLong="33.000°N 44.000°E" type="COUNTRY"	United States 39.7599983215332 -98.5 us_00,Mehdi 31.730600357055664 55.95146179199219 ir_40,Saleh 37.188079833984375 55.45112991333008 ir_37,
He claimed, though, that Iraq can fend for itself: `` Iraq does not need any humanitarian assistance.	Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-16" latLong="33.000°N 44.000°E" type="COUNTRY"	Iraq 33.0 44.0 iq_00,
  U.S.  paratroopers parachute into northern Iraq  , secure airfield, link	U.S. PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-1" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-14" latLong="33.000°N 44.000°E" mod="N" type="COUNTRY"	U.S. 39.7599983215332 -98.5 us_00,parachute 39.45191955566406 -108.05284881591797 us_co,Iraq 33.0 44.0 iq_00,
IRBIL , Iraq (AP) Kurdish militiamen and U.S. special operations troops linked up with more than 1,000 U.S. Army paratroopers Thursday to secure the area around a strategic air strip, as the first large coalition ground force in northern Iraq began opening another front against Saddam Hussein's regime.	Kurdish PLACE country="IQ" form="NAM" id="Pl-61" type="RGN",north PLACE country="IQ" form="NOM" gazref="IGDB:16897518" id="Pl-32" latLong="33.000°N 44.000°E" mod="N" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-30" latLong="33.000°N 44.000°E" mod="N" type="PPL",U.S. PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-13" type="COUNTRY",IRBIL PLACE country="IQ" form="NAM" gazref="IGDB:16893567" id="Pl-33" latLong="36.190°N 44.009°E" state="AR" type="PPLA"	U.S. 39.7599983215332 -98.5 us_00,IRBIL 36.099998474121094 44.0 iq_11,Iraq 33.0 44.0 iq_00,
The airdrop _ one of the biggest paratroop drops in decades _ was a dramatic entry for ground troops into a region where only small groups of U.S. special forces have been operating.	U.S. PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-13" type="COUNTRY"	U.S. 39.7599983215332 -98.5 us_00,
Coalition airstrikes have been hitting Iraqi military forces and other strategic targets in the north . ``This tightens the noose against Saddam's forces battling coalition forces to the south ,'' Brig.	north PLACE country="IQ" form="NOM" gazref="IGDB:16897518" id="Pl-32" latLong="33.000°N 44.000°E" mod="N" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-30" latLong="33.000°N 44.000°E" mod="N" type="PPL",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-21" latLong="33.000°N 44.000°E" type="COUNTRY",south PLACE country="IQ" form="NOM" gazref="IGDB:16897518" id="Pl-31" latLong="33.000°N 44.000°E" mod="S" type="COUNTRY"	Brig 46.31666946411133 7.983329772949219 ch_vs,
Gen. James Parker, commander of U.S. forces in the north . ``And it may also serve as a warning to Turkish forces.'' Giving cover for the deployment, U.S. warplanes struck Iraqi ground troops and bunkers in northern Iraq .	north PLACE country="IQ" form="NOM" gazref="IGDB:16897518" id="Pl-32" latLong="33.000°N 44.000°E" mod="N" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-30" latLong="33.000°N 44.000°E" mod="N" type="PPL",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-21" latLong="33.000°N 44.000°E" type="COUNTRY",Turkish PLACE country="TR" form="NAM" gazref="IGDB:19226169" id="Pl-36" latLong="39.000°N 35.000°E" mod="BORDER" type="COUNTRY",U.S. PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-13" type="COUNTRY"	U.S. 39.7599983215332 -98.5 us_00,Parker 46.50096130371094 -120.46533966064453 us_wa,Iraq 33.0 44.0 iq_00,
Around dawn Thursday, strikes resumed, with a massive explosion just outside the Kurdish zone close to the village of Kalak .	Kurdish PLACE country="IQ" form="NAM" id="Pl-61" type="RGN",Kalak PLACE country="IQ" form="NAM" gazref="IGDB:16894998" id="Pl-40" latLong="36.264°N 43.648°E" state="TS" type="PPL"	Kalak 61.95000076293945 -162.86666870117188 us_ak,
Warplanes pounded forward Iraqi positions in the hills overlooking Chamchamal , SIGNAL id="S-5" 35 kilometers (22 miles) SIGNAL SIGNAL id="S-2" east SIGNAL of the key oil city of Kirkuk .	Kirkuk PLACE country="IQ" form="NAM" gazref="IGDB:16892885" id="Pl-58" latLong="35.468°N 44.392°E" state="TS" type="PPLA",Chamchamal PLACE country="IQ" form="NAM" gazref="IGDB:16895613" id="Pl-44" latLong="35.537°N 44.832°E" state="SW" type="PPL",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-30" latLong="33.000°N 44.000°E" mod="N" type="PPL",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-21" latLong="33.000°N 44.000°E" type="COUNTRY"	Kirkuk 35.46805953979492 44.39221954345703 iq_13,Chamchamal 35.53356170654297 44.83430099487305 iq_05,
Later Thursday, Kurdish troops in Chamchamal advanced their positions between government-controlled and rebel-controlled areas, taking over a Iraqi check point on their front with no fighting at this point, witnesses said.	Kurdish PLACE country="IQ" form="NAM" id="Pl-61" type="RGN",Chamchamal PLACE country="IQ" form="NAM" gazref="IGDB:16895613" id="Pl-44" latLong="35.537°N 44.832°E" state="SW" type="PPL",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-30" latLong="33.000°N 44.000°E" mod="N" type="PPL",Iraqi PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-21" latLong="33.000°N 44.000°E" type="COUNTRY"	Chamchamal 35.53356170654297 44.83430099487305 iq_05,
